0:0:1	SuperLAN-2U
2:60:8c	3Com				IBM PC; Imagen; Valid; Cisco; Macintosh
2:7:1	Interlan [now Racal-InterLAN]	DEC (UNIBUS or QBUS), Apollo, Cisco
2:7:1	Racal-Datacom
2:aa:3c	Olivetti
2:cf:1f	CMC				Masscomp; Silicon Graphics; Prime EXL
2:e0:3b	Prominet Corporation		Gigabit Ethernet Switch
2:e6:d3	BTI (Bus-Tech, Inc.)		IBM Mainframes
2e:2e:2e	LAA (Locally Administered Address) for Meditech Systems
3c:0:0	3Com				dual function (V.34 modem + Ethernet) card
40:0:3	Net Ware (?)
44:45:53	Microsoft			(Windows95 internal "adapters")
44:46:49	DFI (Diamond Flower Industries)
47:54:43	GTC (Not registered!)		(This number is a multicast!)
48:44:53	HDS ???
48:4c:0	Network Solutions
48:54:e8	 winbond?
4c:42:4c	Information Modes software modified addresses (not registered?)
52:54:4c	Novell 2000
52:54:ab	REALTEK (a Realtek 8029 based PCI Card)
56:58:57	Aculab plc			audio bridges
80:0:10	AT&T [misrepresented as 080010? One source claims this is correct]
80:ad:0	CNET Technology Inc. (Probably an error, see instead 0080AD)
8:0:1	Computer Vision
8:0:10	AT&T [misrepresentation of 800010?]
8:0:11	Tektronix, Inc.
8:0:14	Excelan				BBN Butterfly, Masscomp, Silicon Graphics
8:0:17	National Semiconductor Corp. (used to have Network System Corp., wrong NSC)
8:0:1a	Tiara? (used to have Data General)
8:0:1b	Data General
8:0:1e	Apollo
8:0:1f	Sharp
8:0:2	3Com (formerly Bridge)
8:0:20	Sun
8:0:22	NBI (Nothing But Initials)
8:0:23	Matsushita Denso
8:0:25	CDC
8:0:26	Norsk Data (Nord)
8:0:27	PCS Computer Systems GmbH
8:0:28	TI				Explorer
8:0:2b	DEC
8:0:2e	Metaphor
8:0:2f	Prime Computer			Prime 50-Series LHC300
8:0:3	ACC (Advanced Computer Communications)
8:0:30	CERN
8:0:32	Tigan
8:0:36	Intergraph			CAE stations
8:0:37	Fuji Xerox
8:0:38	Bull
8:0:39	Spider Systems
8:0:3b	Torus Systems
8:0:3d	cadnetix
8:0:3e	Motorola			VME bus processor modules
8:0:41	DCA (Digital Comm. Assoc.)
8:0:44	DSI (DAVID Systems, Inc.)
8:0:45	???? (maybe Xylogics, but they claim not to know this number)
8:0:46	Sony
8:0:47	Sequent
8:0:48	Eurotherm Gauging Systems
8:0:49	Univation
8:0:4c	Encore
8:0:4e	BICC	[3com bought BICC, so may appear on 3com equipment as well]
8:0:5	Symbolics			Symbolics LISP machines
8:0:51	Experdata
8:0:56	Stanford University
8:0:57	Evans & Sutherland (?)
8:0:58	???				DECsystem-20
8:0:5a	IBM
8:0:6	Siemens Nixdorf			PC clone
8:0:66	AGFA				printers, phototypesetters etc.
8:0:67	Comdesign
8:0:68	Ridge
8:0:69	Silicon Graphics
8:0:6a	ATTst (?)
8:0:6e	Excelan
8:0:7	Apple
8:0:70	Mitsubishi
8:0:74	Casio
8:0:75	DDE (Danish Data Elektronik A/S)
8:0:77	TSL (now Retix)
8:0:79	Silicon Graphics
8:0:7c	Vitalink			TransLAN III
8:0:8	BBN (Bolt Beranek and Newman, Inc.)
8:0:80	XIOS
8:0:81	Crosfield Electronics
8:0:83	Seiko Denshi
8:0:86	Imagen/QMS
8:0:87	Xyplex				terminal servers
8:0:88	McDATA Corporation
8:0:89	Kinetics			AppleTalk-Ethernet interface
8:0:8b	Pyramid
8:0:8d	XyVision			XyVision machines
8:0:8e	Tandem / Solbourne Computer ?
8:0:8f	Chipcom Corp.
8:0:9	Hewlett-Packard
8:0:90	Retix, Inc.			Bridges
8:0:a	Nestar Systems
8:0:b	Unisys
8:0:d	ICL (International Computers, Ltd.)
8:0:e	NCR/AT&T
8:0:f	SMC (Standard Microsystems Corp.)
9:0:6a	AT&T
aa:0:0	DEC				obsolete
aa:0:1	DEC				obsolete
aa:0:2	DEC				obsolete
aa:0:3	DEC				Global physical address for some DEC machines
aa:0:4	DEC				Local logical address for DECNET systems
c0:0:0	Western Digital (may be reversed 00 00 C0?)
ec:10:0	Enance Source Co., Ltd.	PC clones(?)
